Id,LotFrontage,LotArea,LotShape,OverallCond,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotRmsAbvGrd,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
1,65,8450,Reg,5,196,856,856,854,1710,8,548,0,61,208500
2,80,9600,Reg,8,0,1262,1262,0,1262,6,460,298,0,181500
3,68,11250,IR1,5,162,920,920,866,1786,6,608,0,42,223500
4,60,9550,IR1,5,0,756,961,756,1717,7,642,0,35,140000
5,84,14260,IR1,5,350,1145,1145,1053,2198,9,836,192,84,250000
6,85,14115,IR1,5,0,796,796,566,1362,5,480,40,30,143000
7,75,10084,Reg,5,186,1686,1694,0,1694,7,636,255,57,307000
8,NA,10382,IR1,6,240,1107,1107,983,2090,7,484,235,204,200000
9,51,6120,Reg,5,0,952,1022,752,1774,8,468,90,0,129900
10,50,7420,Reg,6,0,991,1077,0,1077,5,205,0,4,118000
11,70,11200,Reg,5,0,1040,1040,0,1040,5,384,0,0,129500
12,85,11924,IR1,5,286,1175,1182,1142,2324,11,736,147,21,345000
13,NA,12968,IR2,6,0,912,912,0,912,4,352,140,0,144000
14,91,10652,IR1,5,306,1494,1494,0,1494,7,840,160,33,279500
15,NA,10920,IR1,5,212,1253,1253,0,1253,5,352,0,213,157000
16,51,6120,Reg,8,0,832,854,0,854,5,576,48,112,132000
17,NA,11241,IR1,7,180,1004,1004,0,1004,5,480,0,0,149000
18,72,10791,Reg,5,0,0,1296,0,1296,6,516,0,0,90000
19,66,13695,Reg,5,0,1114,1114,0,1114,6,576,0,102,159000
20,70,7560,Reg,6,0,1029,1339,0,1339,6,294,0,0,139000
21,101,14215,IR1,5,380,1158,1158,1218,2376,9,853,240,154,325300
22,57,7449,Reg,7,0,637,1108,0,1108,6,280,0,0,139400
23,75,9742,Reg,5,281,1777,1795,0,1795,7,534,171,159,230000
24,44,4224,Reg,7,0,1040,1060,0,1060,6,572,100,110,129900
25,NA,8246,IR1,8,0,1060,1060,0,1060,6,270,406,90,154000
26,110,14230,Reg,5,640,1566,1600,0,1600,7,890,0,56,256300
27,60,7200,Reg,7,0,900,900,0,900,5,576,222,32,134800
28,98,11478,Reg,5,200,1704,1704,0,1704,7,772,0,50,306000
29,47,16321,IR1,6,0,1484,1600,0,1600,6,319,288,258,207500
30,60,6324,IR1,6,0,520,520,0,520,4,240,49,0,68500
31,50,8500,Reg,4,0,649,649,668,1317,6,250,0,54,40000
32,NA,8544,IR1,6,0,1228,1228,0,1228,6,271,0,65,149350
33,85,11049,Reg,5,0,1234,1234,0,1234,7,484,0,30,179900
34,70,10552,IR1,5,0,1398,1700,0,1700,6,447,0,38,165500
35,60,7313,Reg,5,246,1561,1561,0,1561,6,556,203,47,277500
36,108,13418,Reg,5,132,1117,1132,1320,2452,9,691,113,32,309000
37,112,10859,Reg,5,0,1097,1097,0,1097,6,672,392,64,145000
38,74,8532,Reg,6,650,1297,1297,0,1297,5,498,0,0,153000
39,68,7922,Reg,7,0,1057,1057,0,1057,5,246,0,52,109000
40,65,6040,Reg,5,0,0,1152,0,1152,6,0,0,0,82000
41,84,8658,Reg,5,101,1088,1324,0,1324,6,440,0,138,160000
42,115,16905,Reg,6,0,1350,1328,0,1328,5,308,0,104,170000
43,NA,9180,IR1,7,0,840,884,0,884,5,504,240,0,144000
44,NA,9200,IR1,6,0,938,938,0,938,5,308,145,0,130250
45,70,7945,Reg,6,0,1150,1150,0,1150,6,300,0,0,141000
46,61,7658,Reg,5,412,1752,1752,0,1752,6,576,196,82,319900
47,48,12822,IR1,5,0,1434,1518,631,2149,6,670,168,43,239686
48,84,11096,Reg,5,0,1656,1656,0,1656,7,826,0,146,249700
49,33,4456,Reg,5,0,736,736,716,1452,8,0,0,0,113000
50,66,7742,Reg,7,0,955,955,0,955,6,386,0,0,127000
51,NA,13869,IR2,6,0,794,794,676,1470,6,388,0,75,177000
52,52,6240,Reg,6,0,816,816,0,1176,6,528,112,0,114500
53,110,8472,IR2,5,0,816,816,0,816,5,516,106,0,110000
54,68,50271,IR1,5,0,1842,1842,0,1842,5,894,857,72,385000
55,60,7134,Reg,5,0,384,1360,0,1360,6,572,0,50,130000
56,100,10175,IR1,5,272,1425,1425,0,1425,7,576,0,0,180500
57,24,2645,Reg,5,456,970,983,756,1739,7,480,115,0,172500
58,89,11645,IR1,5,0,860,860,860,1720,7,565,0,70,196500
59,66,13682,IR2,5,1031,1410,1426,1519,2945,10,641,192,0,438780
60,60,7200,Reg,7,0,780,780,0,780,4,352,196,0,124900
61,63,13072,Reg,5,0,1158,1158,0,1158,5,576,0,50,158000
62,60,7200,Reg,7,0,530,581,530,1111,6,288,0,0,101000
63,44,6442,IR1,5,178,1370,1370,0,1370,6,484,120,49,202500
64,50,10300,IR1,6,0,576,902,808,1710,9,480,12,11,140000
65,NA,9375,Reg,5,573,1057,1057,977,2034,8,645,576,36,219500
66,76,9591,Reg,5,344,1143,1143,1330,2473,9,852,192,151,317000
67,NA,19900,Reg,5,287,1947,2207,0,2207,7,576,301,0,180000
68,72,10665,IR1,5,167,1453,1479,0,1479,7,558,144,29,226000
69,47,4608,Reg,6,0,747,747,0,747,4,220,0,0,80000
70,81,15593,Reg,4,0,1304,1304,983,2287,7,667,0,21,225000
71,95,13651,IR1,6,1115,2223,2223,0,2223,8,516,300,0,244000
72,69,7599,Reg,6,0,845,845,0,845,4,360,0,0,129500
73,74,10141,IR1,5,40,832,885,833,1718,7,427,0,94,185000
74,85,10200,Reg,7,104,1086,1086,0,1086,6,490,0,0,144900
75,60,5790,Reg,6,0,840,840,765,1605,8,379,0,0,107400
76,21,1596,Reg,5,0,462,526,462,988,5,297,120,101,91000
77,NA,8475,IR1,7,0,952,952,0,952,4,283,0,0,135750
78,50,8635,Reg,5,0,672,1072,213,1285,6,240,0,0,127000
79,72,10778,Reg,5,0,1768,1768,0,1768,8,0,0,0,136500
80,60,10440,Reg,6,0,440,682,548,1230,5,440,74,0,110000
81,100,13000,Reg,6,576,896,1182,960,2142,8,509,0,72,193500
82,32,4500,Reg,5,443,1237,1337,0,1337,5,405,0,199,153500
83,78,10206,Reg,5,468,1563,1563,0,1563,6,758,144,99,245000
84,80,8892,IR1,5,66,1065,1065,0,1065,6,461,74,0,126500
85,NA,8530,IR1,5,22,384,804,670,1474,7,400,120,72,168500
86,121,16059,Reg,5,284,1288,1301,1116,2417,9,462,127,82,260000
87,122,11911,IR2,5,0,684,684,876,1560,6,400,100,38,174000
88,40,3951,Reg,5,76,612,612,612,1224,4,528,0,234,164500
89,105,8470,IR1,2,0,1013,1013,0,1526,6,0,0,0,85000
90,60,8070,Reg,5,0,990,990,0,990,5,0,0,0,123600
91,60,7200,Reg,5,0,0,1040,0,1040,4,420,0,29,109900
92,85,8500,Reg,3,203,1235,1235,0,1235,6,480,0,0,98600
93,80,13360,IR1,7,0,876,964,0,964,5,432,0,0,163500
94,60,7200,Reg,6,0,1214,1260,1031,2291,9,506,0,0,133900
95,69,9337,IR1,5,0,824,905,881,1786,7,684,0,162,204750
96,NA,9765,IR2,8,68,680,680,790,1470,6,420,232,63,185000
97,78,10264,IR1,5,183,1588,1588,0,1588,6,472,158,29,214000
98,73,10921,Reg,5,48,960,960,0,960,6,432,120,0,94750
99,85,10625,Reg,5,0,458,835,0,835,5,366,0,0,83000
100,77,9320,IR1,5,0,950,1225,0,1225,6,0,352,0,128950
101,NA,10603,IR1,7,28,1610,1610,0,1610,6,480,168,68,205000
102,77,9206,Reg,5,336,741,977,755,1732,7,476,192,46,178000
103,64,7018,Reg,5,0,0,1535,0,1535,8,410,0,0,118964
104,94,10402,IR1,5,0,1226,1226,0,1226,6,740,0,36,198900
105,NA,7758,Reg,4,600,1040,1226,592,1818,7,240,0,0,169500
106,75,9375,Reg,5,768,1053,1053,939,1992,9,648,140,45,250000
107,60,10800,Reg,7,0,641,1047,0,1047,6,273,0,0,100000
108,50,6000,Reg,5,0,789,789,0,789,5,250,0,0,115000
109,85,8500,Reg,7,0,793,997,520,1517,7,0,0,0,115000
110,105,11751,IR1,6,480,1844,1844,0,1844,7,546,0,122,190000
111,75,9525,Reg,4,0,994,1216,639,1855,7,325,182,0,136900
112,NA,7750,IR1,5,0,384,774,656,1430,7,400,180,0,180000
113,77,9965,Reg,5,220,1264,1282,1414,2696,10,792,120,184,383970
114,NA,21000,Reg,5,184,1809,2259,0,2259,7,450,166,120,217000
115,61,7259,IR1,8,0,1028,1436,884,2320,9,180,224,0,259500
116,34,3230,Reg,5,1129,729,729,729,1458,5,440,0,32,176000
117,NA,11616,Reg,5,116,1092,1092,0,1092,6,288,0,20,139000
118,74,8536,Reg,5,0,1125,1125,0,1125,5,430,80,64,155000
119,90,12376,Reg,5,0,1673,1699,1523,3222,11,594,367,0,320000
120,65,8461,Reg,5,0,728,728,728,1456,8,390,0,24,163990
121,NA,21453,IR1,5,0,938,988,0,988,4,540,0,130,180000
122,50,6060,Reg,5,0,732,772,351,1123,4,264,0,0,100000
123,75,9464,Reg,7,135,1080,1080,0,1080,5,288,0,0,136000
124,55,7892,Reg,5,0,1199,1199,0,1199,5,530,0,63,153900
125,48,17043,IR1,5,0,1362,1586,0,1586,7,435,192,0,181000
126,60,6780,Reg,8,0,520,520,0,754,5,0,53,0,84500
127,NA,4928,IR1,5,0,1078,958,0,958,5,440,0,205,128000
128,55,4388,IR1,7,0,672,840,0,840,5,0,0,0,87000
129,69,7590,Reg,5,266,660,660,688,1348,6,453,188,108,155000
130,69,8973,Reg,7,85,1008,1053,0,1053,6,750,0,80,150000
131,88,14200,Reg,6,309,924,1216,941,2157,8,487,105,66,226000
132,NA,12224,IR1,5,40,992,1022,1032,2054,7,390,24,48,244000
133,75,7388,Reg,6,0,1063,1327,0,1327,7,624,0,0,150750
134,NA,6853,IR1,5,136,1267,1296,0,1296,6,471,192,25,220000
135,78,10335,IR1,6,0,1461,1721,0,1721,7,440,0,96,180000
136,80,10400,Reg,6,288,1304,1682,0,1682,7,530,98,0,174000
137,NA,10355,IR1,5,196,1214,1214,0,1214,5,318,0,111,143000
138,82,11070,Reg,5,70,1907,1959,0,1959,9,766,0,0,171000
139,73,9066,IR1,5,320,1004,1004,848,1852,7,660,224,106,230000
140,65,15426,IR1,5,0,928,928,836,1764,7,470,276,99,231500
141,70,10500,Reg,5,0,864,864,0,864,5,0,0,0,115000
142,78,11645,Reg,5,0,1734,1734,0,1734,7,660,160,24,260000
143,71,8520,Reg,4,0,910,910,475,1385,6,720,0,0,166000
144,78,10335,IR1,5,183,1490,1501,0,1501,6,577,144,29,204000
145,70,9100,Reg,5,336,1728,1728,0,1728,10,504,0,0,125000
146,24,2522,Reg,5,50,970,970,739,1709,7,380,0,40,130000
147,51,6120,Reg,7,0,715,875,0,875,5,180,48,0,105000
148,NA,9505,IR1,5,180,884,884,1151,2035,8,434,144,48,222500
149,63,7500,Reg,5,120,1080,1080,0,1080,6,0,0,0,141000
150,NA,6240,Reg,4,0,896,896,448,1344,7,240,200,114,115000
151,120,10356,Reg,6,0,969,969,0,969,5,440,0,0,122000
152,107,13891,Reg,5,436,1710,1710,0,1710,6,866,0,102,372402
153,NA,14803,IR1,5,252,825,1097,896,1993,8,495,0,66,190000
154,NA,13500,Reg,7,0,1602,1252,0,1252,4,564,409,0,235000
155,84,11340,Reg,5,0,1200,1200,0,1200,7,312,0,0,125000
156,60,9600,Reg,5,0,572,572,524,1096,5,0,0,8,79000
157,60,7200,Reg,7,0,0,1040,0,1040,5,625,0,0,109500
158,92,12003,Reg,5,84,774,774,1194,1968,8,680,0,75,269500
159,100,12552,Reg,5,0,991,991,956,1947,8,678,0,136,254900
160,134,19378,IR1,5,456,1392,1392,1070,2462,9,576,239,132,320000
161,NA,11120,IR1,6,0,1232,1232,0,1232,6,516,0,0,162500
162,110,13688,IR1,5,664,1572,1572,1096,2668,10,726,400,0,412500
163,95,12182,Reg,5,226,1541,1541,0,1541,7,532,0,70,220000
164,55,5500,Reg,6,0,882,882,0,882,4,0,0,0,103200
165,40,5400,Reg,7,0,1149,1149,467,1616,5,216,0,0,152000
166,62,10106,Reg,7,0,644,808,547,1355,6,0,140,0,127500
167,NA,10708,IR1,5,0,1617,1867,0,1867,7,303,476,0,190000
168,86,10562,Reg,5,300,1582,1610,551,2161,8,789,178,120,325624
169,62,8244,IR1,5,0,840,840,880,1720,7,440,100,48,183500
170,NA,16669,IR1,6,653,1686,1707,0,1707,6,511,574,64,228000
171,NA,12358,IR1,6,0,720,854,0,1382,7,660,237,0,128500
172,141,31770,IR1,5,112,1080,1656,0,1656,7,528,210,62,215000
173,44,5306,IR1,7,0,1064,1064,703,1767,5,504,441,35,239000
174,80,10197,IR1,5,491,1362,1362,0,1362,6,504,0,20,163000
175,47,12416,IR1,5,132,1606,1651,0,1651,7,616,192,0,184000
176,84,12615,Reg,7,0,1202,2158,0,2158,7,576,0,29,243000
177,97,10029,IR1,5,268,1151,1164,896,2060,8,521,0,228,211000
178,NA,13650,Reg,5,0,1052,1252,668,1920,8,451,0,0,172500
179,63,17423,IR1,5,748,2216,2234,0,2234,9,1166,0,60,501837
180,60,8520,Reg,6,0,968,968,0,968,5,480,0,0,100000
181,NA,2117,Reg,5,456,756,769,756,1525,5,440,0,0,177000
182,54,7588,Reg,6,0,793,901,901,1802,9,216,0,0,200100
183,60,9060,Reg,6,98,0,1340,0,1340,7,252,116,0,120000
184,63,11426,Reg,5,0,1362,1362,720,2082,6,484,280,238,200000
185,92,7438,IR1,8,0,504,936,316,1252,5,576,104,0,127000
186,90,22950,IR2,9,0,1107,1518,1518,3608,12,840,0,260,475000
