PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,male,22,1,0,7.25,S
2,1,1,female,38,1,0,71.2833,C
3,1,3,female,26,0,0,7.925,S
4,1,1,female,35,1,0,53.1,S
5,0,3,male,35,0,0,8.05,S
6,0,3,male,,0,0,8.4583,Q
7,0,1,male,54,0,0,51.8625,S
8,0,3,male,2,3,1,21.075,S
9,1,3,female,27,0,2,11.1333,S
10,1,2,female,14,1,0,30.0708,C
11,1,3,female,4,1,1,16.7,S
12,1,1,female,58,0,0,26.55,S
13,0,3,male,20,0,0,8.05,S
14,0,3,male,39,1,5,31.275,S
15,0,3,female,14,0,0,7.8542,S
16,1,2,female,55,0,0,16,S
17,0,3,male,2,4,1,29.125,Q
18,1,2,male,,0,0,13,S
19,0,3,female,31,1,0,18,S
20,1,3,female,,0,0,7.225,C
21,0,2,male,35,0,0,26,S
22,1,2,male,34,0,0,13,S
23,1,3,female,15,0,0,8.0292,Q
24,1,1,male,28,0,0,35.5,S
25,0,3,female,8,3,1,21.075,S
26,1,3,female,38,1,5,31.3875,S
27,0,3,male,,0,0,7.225,C
28,0,1,male,19,3,2,263,S
29,1,3,female,,0,0,7.8792,Q
30,0,3,male,,0,0,7.8958,S
31,0,1,male,40,0,0,27.7208,C
32,1,1,female,,1,0,146.5208,C
33,1,3,female,,0,0,7.75,Q
34,0,2,male,66,0,0,10.5,S
35,0,1,male,28,1,0,82.1708,C
36,0,1,male,42,1,0,52,S
37,1,3,male,,0,0,7.2292,C
38,0,3,male,21,0,0,8.05,S
39,0,3,female,18,2,0,18,S
40,1,3,female,14,1,0,11.2417,C
41,0,3,female,40,1,0,9.475,S
42,0,2,female,27,1,0,21,S
43,0,3,male,,0,0,7.8958,C
44,1,2,female,3,1,2,41.5792,C
45,1,3,female,19,0,0,7.8792,Q
46,0,3,male,,0,0,8.05,S
47,0,3,male,,1,0,15.5,Q
48,1,3,female,,0,0,7.75,Q
49,0,3,male,,2,0,21.6792,C
50,0,3,female,18,1,0,17.8,S
51,0,3,male,7,4,1,39.6875,S
52,0,3,male,21,0,0,7.8,S
53,1,1,female,49,1,0,76.7292,C
54,1,2,female,29,1,0,26,S
55,0,1,male,65,0,1,61.9792,C
56,1,1,male,,0,0,35.5,S
57,1,2,female,21,0,0,10.5,S
58,0,3,male,28.5,0,0,7.2292,C
59,1,2,female,5,1,2,27.75,S
60,0,3,male,11,5,2,46.9,S
61,0,3,male,22,0,0,7.2292,C
62,1,1,female,38,0,0,80,
63,0,1,male,45,1,0,83.475,S
64,0,3,male,4,3,2,27.9,S
65,0,1,male,,0,0,27.7208,C
66,1,3,male,,1,1,15.2458,C
67,1,2,female,29,0,0,10.5,S
68,0,3,male,19,0,0,8.1583,S
69,1,3,female,17,4,2,7.925,S
70,0,3,male,26,2,0,8.6625,S
71,0,2,male,32,0,0,10.5,S
72,0,3,female,16,5,2,46.9,S
73,0,2,male,21,0,0,73.5,S
74,0,3,male,26,1,0,14.4542,C
75,1,3,male,32,0,0,56.4958,S
76,0,3,male,25,0,0,7.65,S
77,0,3,male,,0,0,7.8958,S
78,0,3,male,,0,0,8.05,S
79,1,2,male,0.83,0,2,29,S
80,1,3,female,30,0,0,12.475,S
81,0,3,male,22,0,0,9,S
82,1,3,male,29,0,0,9.5,S
83,1,3,female,,0,0,7.7875,Q
84,0,1,male,28,0,0,47.1,S
85,1,2,female,17,0,0,10.5,S
86,1,3,female,33,3,0,15.85,S
87,0,3,male,16,1,3,34.375,S
88,0,3,male,,0,0,8.05,S
89,1,1,female,23,3,2,263,S
90,0,3,male,24,0,0,8.05,S
91,0,3,male,29,0,0,8.05,S
92,0,3,male,20,0,0,7.8542,S
93,0,1,male,46,1,0,61.175,S
94,0,3,male,26,1,2,20.575,S
95,0,3,male,59,0,0,7.25,S
96,0,3,male,,0,0,8.05,S
97,0,1,male,71,0,0,34.6542,C
98,1,1,male,23,0,1,63.3583,C
99,1,2,female,34,0,1,23,S
100,0,2,male,34,1,0,26,S
101,0,3,female,28,0,0,7.8958,S
102,0,3,male,,0,0,7.8958,S
103,0,1,male,21,0,1,77.2875,S
104,0,3,male,33,0,0,8.6542,S
105,0,3,male,37,2,0,7.925,S
106,0,3,male,28,0,0,7.8958,S
107,1,3,female,21,0,0,7.65,S
108,1,3,male,,0,0,7.775,S
109,0,3,male,38,0,0,7.8958,S
110,1,3,female,,1,0,24.15,Q
111,0,1,male,47,0,0,52,S
112,0,3,female,14.5,1,0,14.4542,C
113,0,3,male,22,0,0,8.05,S
114,0,3,female,20,1,0,9.825,S
115,0,3,female,17,0,0,14.4583,C
116,0,3,male,21,0,0,7.925,S
117,0,3,male,70.5,0,0,7.75,Q
118,0,2,male,29,1,0,21,S
119,0,1,male,24,0,1,247.5208,C
120,0,3,female,2,4,2,31.275,S
121,0,2,male,21,2,0,73.5,S
122,0,3,male,,0,0,8.05,S
123,0,2,male,32.5,1,0,30.0708,C
124,1,2,female,32.5,0,0,13,S
125,0,1,male,54,0,1,77.2875,S
126,1,3,male,12,1,0,11.2417,C
127,0,3,male,,0,0,7.75,Q
128,1,3,male,24,0,0,7.1417,S
129,1,3,female,,1,1,22.3583,C
130,0,3,male,45,0,0,6.975,S
131,0,3,male,33,0,0,7.8958,C
132,0,3,male,20,0,0,7.05,S
133,0,3,female,47,1,0,14.5,S
134,1,2,female,29,1,0,26,S
135,0,2,male,25,0,0,13,S
136,0,2,male,23,0,0,15.0458,C
137,1,1,female,19,0,2,26.2833,S
138,0,1,male,37,1,0,53.1,S
139,0,3,male,16,0,0,9.2167,S
140,0,1,male,24,0,0,79.2,C
141,0,3,female,,0,2,15.2458,C
142,1,3,female,22,0,0,7.75,S
143,1,3,female,24,1,0,15.85,S
144,0,3,male,19,0,0,6.75,Q
145,0,2,male,18,0,0,11.5,S
146,0,2,male,19,1,1,36.75,S
147,1,3,male,27,0,0,7.7958,S
148,0,3,female,9,2,2,34.375,S
149,0,2,male,36.5,0,2,26,S
150,0,2,male,42,0,0,13,S
151,0,2,male,51,0,0,12.525,S
152,1,1,female,22,1,0,66.6,S
153,0,3,male,55.5,0,0,8.05,S
154,0,3,male,40.5,0,2,14.5,S
155,0,3,male,,0,0,7.3125,S
156,0,1,male,51,0,1,61.3792,C
157,1,3,female,16,0,0,7.7333,Q
158,0,3,male,30,0,0,8.05,S
159,0,3,male,,0,0,8.6625,S
160,0,3,male,,8,2,69.55,S
161,0,3,male,44,0,1,16.1,S
162,1,2,female,40,0,0,15.75,S
163,0,3,male,26,0,0,7.775,S
164,0,3,male,17,0,0,8.6625,S
165,0,3,male,1,4,1,39.6875,S
166,1,3,male,9,0,2,20.525,S
167,1,1,female,,0,1,55,S
168,0,3,female,45,1,4,27.9,S
169,0,1,male,,0,0,25.925,S
170,0,3,male,28,0,0,56.4958,S
171,0,1,male,61,0,0,33.5,S
172,0,3,male,4,4,1,29.125,Q
173,1,3,female,1,1,1,11.1333,S
174,0,3,male,21,0,0,7.925,S
175,0,1,male,56,0,0,30.6958,C
176,0,3,male,18,1,1,7.8542,S
177,0,3,male,,3,1,25.4667,S
178,0,1,female,50,0,0,28.7125,C
179,0,2,male,30,0,0,13,S
180,0,3,male,36,0,0,0,S
181,0,3,female,,8,2,69.55,S
182,0,2,male,,0,0,15.05,C
183,0,3,male,9,4,2,31.3875,S
184,1,2,male,1,2,1,39,S
185,1,3,female,4,0,2,22.025,S
186,0,1,male,,0,0,50,S
187,1,3,female,,1,0,15.5,Q
188,1,1,male,45,0,0,26.55,S
189,0,3,male,40,1,1,15.5,Q
190,0,3,male,36,0,0,7.8958,S
191,1,2,female,32,0,0,13,S
192,0,2,male,19,0,0,13,S
193,1,3,female,19,1,0,7.8542,S
194,1,2,male,3,1,1,26,S
195,1,1,female,44,0,0,27.7208,C
196,1,1,female,58,0,0,146.5208,C
197,0,3,male,,0,0,7.75,Q
198,0,3,male,42,0,1,8.4042,S
199,1,3,female,,0,0,7.75,Q
200,0,2,female,24,0,0,13,S
201,0,3,male,28,0,0,9.5,S
202,0,3,male,,8,2,69.55,S
203,0,3,male,34,0,0,6.4958,S
204,0,3,male,45.5,0,0,7.225,C
205,1,3,male,18,0,0,8.05,S
206,0,3,female,2,0,1,10.4625,S
207,0,3,male,32,1,0,15.85,S
208,1,3,male,26,0,0,18.7875,C
209,1,3,female,16,0,0,7.75,Q
210,1,1,male,40,0,0,31,C
211,0,3,male,24,0,0,7.05,S
212,1,2,female,35,0,0,21,S
213,0,3,male,22,0,0,7.25,S
214,0,2,male,30,0,0,13,S
215,0,3,male,,1,0,7.75,Q
216,1,1,female,31,1,0,113.275,C
217,1,3,female,27,0,0,7.925,S
218,0,2,male,42,1,0,27,S
219,1,1,female,32,0,0,76.2917,C
220,0,2,male,30,0,0,10.5,S
221,1,3,male,16,0,0,8.05,S
222,0,2,male,27,0,0,13,S
223,0,3,male,51,0,0,8.05,S
224,0,3,male,,0,0,7.8958,S
225,1,1,male,38,1,0,90,S
226,0,3,male,22,0,0,9.35,S
227,1,2,male,19,0,0,10.5,S
228,0,3,male,20.5,0,0,7.25,S
229,0,2,male,18,0,0,13,S
230,0,3,female,,3,1,25.4667,S
231,1,1,female,35,1,0,83.475,S
232,0,3,male,29,0,0,7.775,S
233,0,2,male,59,0,0,13.5,S
234,1,3,female,5,4,2,31.3875,S
235,0,2,male,24,0,0,10.5,S
236,0,3,female,,0,0,7.55,S
237,0,2,male,44,1,0,26,S
238,1,2,female,8,0,2,26.25,S
239,0,2,male,19,0,0,10.5,S
240,0,2,male,33,0,0,12.275,S
241,0,3,female,,1,0,14.4542,C
242,1,3,female,,1,0,15.5,Q
243,0,2,male,29,0,0,10.5,S
244,0,3,male,22,0,0,7.125,S
245,0,3,male,30,0,0,7.225,C
246,0,1,male,44,2,0,90,Q
247,0,3,female,25,0,0,7.775,S
248,1,2,female,24,0,2,14.5,S
249,1,1,male,37,1,1,52.5542,S
250,0,2,male,54,1,0,26,S
251,0,3,male,,0,0,7.25,S
252,0,3,female,29,1,1,10.4625,S
253,0,1,male,62,0,0,26.55,S
254,0,3,male,30,1,0,16.1,S
255,0,3,female,41,0,2,20.2125,S
256,1,3,female,29,0,2,15.2458,C
257,1,1,female,,0,0,79.2,C
258,1,1,female,30,0,0,86.5,S
259,1,1,female,35,0,0,512.3292,C
260,1,2,female,50,0,1,26,S
261,0,3,male,,0,0,7.75,Q
262,1,3,male,3,4,2,31.3875,S
263,0,1,male,52,1,1,79.65,S
264,0,1,male,40,0,0,0,S
265,0,3,female,,0,0,7.75,Q
266,0,2,male,36,0,0,10.5,S
267,0,3,male,16,4,1,39.6875,S
268,1,3,male,25,1,0,7.775,S
269,1,1,female,58,0,1,153.4625,S
270,1,1,female,35,0,0,135.6333,S
271,0,1,male,,0,0,31,S
272,1,3,male,25,0,0,0,S
273,1,2,female,41,0,1,19.5,S
274,0,1,male,37,0,1,29.7,C
275,1,3,female,,0,0,7.75,Q
276,1,1,female,63,1,0,77.9583,S
277,0,3,female,45,0,0,7.75,S
